Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdu3              0.00     0.00  0.43  5.27     7.13    50.33    10.08     0.00    0.84   0.79   0.45
sdv               0.00     0.00  0.60  5.93    10.60    62.00    11.11     0.01    1.33   0.60   0.39
sdv3              0.00     0.00  0.60  5.93    10.60    62.00    11.11     0.01    1.33   0.60   0.39
sdw               0.00     0.00  0.37  6.80     8.00    67.87    10.59     0.00    0.57   0.47   0.33
sdw3              0.00     0.00  0.37  6.80     8.00    67.87    10.59     0.00    0.57   0.47   0.33
sdx               0.00     0.00  0.37  5.73     3.47    51.27     8.97     0.00    0.60   0.54   0.33
sdx3              0.00     0.00  0.37  5.73     3.47    51.27     8.97     0.00    0.60   0.54   0.33
sdy               0.00     0.00  0.27  6.33     4.07    69.00    11.07     0.01    0.85   0.85   0.56
sdy3              0.00     0.00  0.27  6.33     4.07    69.00    11.07     0.01    0.85   0.85   0.56
sdz               0.00     0.03  0.23  5.00     1.73    52.80    10.42     0.00    0.47   0.46   0.24
sdz3              0.00     0.03  0.23  5.00     1.73    52.80    10.42     0.00    0.47   0.46   0.24
sdaa              0.00     0.00  0.23  5.33     2.60    48.07     9.10     0.00    0.56   0.50   0.28
sdaa3             0.00     0.00  0.23  5.33     2.60    48.07     9.10     0.00    0.56   0.50   0.28
sdab              0.00     0.00  0.23  3.97     2.73    43.90    11.10     0.00    0.85   0.80   0.34
sdab3             0.00     0.00  0.23  3.97     2.73    43.90    11.10     0.00    0.85   0.80   0.34
sdac              0.00     0.00  0.53  3.20     7.80    49.13    15.25     0.00    1.29   1.12   0.42
sdac3             0.00     0.00  0.53  3.20     7.80    49.13    15.25     0.00    1.29   1.12   0.42
sdad              0.00     0.00  0.13  4.37     1.00    61.40    13.87     0.00    0.47   0.45   0.20
