Linux 2.6.18-164.el5 (peglinux1) 	06/05/2010

Time: 07:10:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.10    0.01    9.87    2.49    0.00   86.53

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sdad3             0.00     0.00  0.17  4.40     2.80    42.53     9.93     0.00    0.61   0.55   0.25
sdae              0.00     0.00  0.13  4.90     0.60    40.27     8.12     0.00    0.93   0.88   0.44
sdae3             0.00     0.00  0.13  4.90     0.60    40.27     8.12     0.00    0.93   0.88   0.44
sdaf              0.00     0.00  0.53  5.53     6.20    50.07     9.27     0.01    0.91   0.78   0.47
sdaf3             0.00     0.00  0.53  5.53     6.20    50.07     9.27     0.01    0.91   0.78   0.47
sdag              0.00     0.00  0.27  4.40     3.80    31.93     7.66     0.00    0.62   0.55   0.26
sdag3             0.00     0.00  0.27  4.40     3.80    31.93     7.66     0.00    0.62   0.55   0.26
sdah              0.00     0.00  0.23  3.83     2.53    27.40     7.36     0.00    0.93   0.84   0.34
sdah3             0.00     0.00  0.23  3.83     2.53    27.40     7.36     0.00    0.93   0.84   0.34
sdai              0.00     0.00  0.37  3.67     6.60    32.47     9.69     0.00    0.88   0.61   0.25
sdai3             0.00     0.00  0.37  3.67     6.60    32.47     9.69     0.00    0.88   0.61   0.25
sdaj              0.00     0.00  0.30  2.20     3.07    30.33    13.36     0.00    1.73   1.63   0.41
sdaj3             0.00     0.00  0.30  2.20     3.07    30.33    13.36     0.00    1.73   1.63   0.41
sdak              0.00     0.00  0.37  3.27     3.53    36.33    10.97     0.00    1.09   1.02   0.37
sdak3             0.00     0.00  0.37  3.27     3.53    36.33    10.97     0.00    1.09   1.02   0.37
sdal              0.00     0.00  0.33  2.70     5.87    41.47    15.60     0.00    1.15   1.07   0.32
sdal3             0.00     0.00  0.33  2.70     5.87    41.47    15.60     0.00    1.15   1.07   0.32
sdam              0.00     0.00  0.10  2.97     2.13    41.33    14.17     0.00    0.57   0.47   0.14
sdam3             0.00     0.00  0.10  2.97     2.13    41.33    14.17     0.00    0.57   0.47   0.14
sdan              0.00     0.00  0.27  2.80     6.00    32.67    12.61     0.00    1.46   1.18   0.36
sdan3             0.00     0.00  0.27  2.80     6.00    32.67    12.61     0.00    1.46   1.18   0.36
sdao              0.00     0.00  0.10  2.53     1.33    33.27    13.14     0.00    1.48   1.44   0.38
sdao3             0.00     0.00  0.10  2.53     1.33    33.27    13.14     0.00    1.48   1.44   0.38
sdap              0.00     0.00  0.30  4.87     6.93    37.73     8.65     0.01    1.80   1.01   0.52
sdap3             0.00     0.00  0.30  4.87     6.93    37.73     8.65     0.01    1.80   1.01   0.52
sdaq              0.00     0.00  0.37  5.13     8.27    40.13     8.80     0.01    0.99   0.76   0.42
sdaq3             0.00     0.00  0.37  5.13     8.27    40.13     8.80     0.01    0.99   0.76   0.42
sdar              0.00     0.00  0.17  4.37     1.07    35.53     8.07     0.00    0.48   0.46   0.21
sdar3             0.00     0.00  0.17  4.37     1.07    35.53     8.07     0.00    0.48   0.46   0.21
sdas              0.00     0.00  0.37  4.30     7.33    29.00     7.79     0.01    1.27   0.86   0.40
sdas3             0.00     0.00  0.37  4.30     7.33    29.00     7.79     0.01    1.27   0.86   0.40
sdat              0.00     0.00  0.33  5.13     6.53    42.20     8.91     0.00    0.63   0.51   0.28
sdat3             0.00     0.00  0.33  5.13     6.53    42.20     8.91     0.00    0.63   0.51   0.28
sdau              0.00     0.00  0.23  4.70     1.87    33.60     7.19     0.00    0.66   0.66   0.32
sdau3             0.00     0.00  0.23  4.70     1.87    33.60     7.19     0.00    0.66   0.66   0.32
sdav              0.00     0.00  0.20  5.13     1.80    50.73     9.85     0.00    0.81   0.76   0.40
sdav3             0.00     0.00  0.20  5.13     1.80    50.73     9.85     0.00    0.81   0.76   0.40
sdaw              0.00     0.00  0.07  4.83     0.40    42.13     8.68     0.00    0.67   0.66   0.32
sdaw3             0.00     0.00  0.07  4.83     0.40    42.13     8.68     0.00    0.67   0.66   0.32
sdax              0.00     0.00  0.23  4.47     2.53    40.13     9.08     0.00    0.65   0.65   0.31
sdax3             0.00     0.00  0.23  4.47     2.53    40.13     9.08     0.00    0.65   0.65   0.31
sday              0.00     0.00  0.03  4.03     0.07    36.40     8.97     0.00    0.37   0.34   0.14
sday3             0.00     0.00  0.03  4.03     0.07    36.40     8.97     0.00    0.37   0.34   0.14
sdaz              0.00     0.00  0.20  2.47     1.20    28.93    11.30     0.00    0.79   0.77   0.21
sdaz3             0.00     0.00  0.20  2.47     1.20    28.93    11.30     0.00    0.79   0.77   0.21
sdba              0.00     0.00  0.20  2.70     1.67    32.20    11.68     0.00    0.92   0.86   0.25
sdba3             0.00     0.00  0.20  2.70     1.67    32.20    11.68     0.00    0.92   0.86   0.25
sdbb              0.00     0.00  0.07  2.43     0.20    33.13    13.33     0.00    0.72   0.73   0.18
sdbb3             0.00     0.00  0.07  2.43     0.20    33.13    13.33     0.00    0.72   0.73   0.18
sdbc              0.00     0.00  0.10  2.67     0.47    35.60    13.04     0.00    0.59   0.57   0.16
sdbc3             0.00     0.00  0.10  2.67     0.47    35.60    13.04     0.00    0.59   0.57   0.16
sdbd              0.00     0.00  0.33  3.23     6.27    36.07    11.87     0.00    1.32   1.18   0.42
sdbd3             0.00     0.00  0.33  3.23     6.27    36.07    11.87     0.00    1.32   1.18   0.42
sdbe              0.00     0.00  0.33  2.87     5.60    36.87    13.27     0.01    2.15   1.06   0.34
sdbe3             0.00     0.00  0.33  2.87     5.60    36.87    13.27     0.01    2.15   1.06   0.34
sdbf              0.00     0.00  0.37  4.70     7.13    44.13    10.12     0.00    0.93   0.82   0.42
sdbf3             0.00     0.00  0.37  4.70     7.13    44.13    10.12     0.00    0.93   0.82   0.42
sdbg              0.00     0.00  0.40  4.53     6.67    37.93     9.04     0.00    0.51   0.49   0.24
sdbg3             0.00     0.00  0.40  4.53     6.67    37.93     9.04     0.00    0.51   0.49   0.24
sdbh              0.00     0.00  0.37  5.10     5.60    41.93     8.70     0.01    0.97   0.69   0.38
sdbh3             0.00     0.00  0.37  5.10     5.60    41.93     8.70     0.01    0.97   0.69   0.38
sdbi              0.00     0.00  0.30  4.60     2.33    35.27     7.67     0.00    0.62   0.60   0.29
sdbi3             0.00     0.00  0.30  4.60     2.33    35.27     7.67     0.00    0.62   0.60   0.29
sdbj              0.00     0.00  0.40  4.67    10.20    35.60     9.04     0.01    1.11   0.71   0.36
sdbj3             0.00     0.00  0.40  4.67    10.20    35.60     9.04     0.01    1.11   0.71   0.36
sdbk              0.00     0.00  0.10  4.80     0.87    40.07     8.35     0.00    0.56   0.52   0.26
sdbk3             0.00     0.00  0.10  4.80     0.87    40.07     8.35     0.00    0.56   0.52   0.26
sdbl              0.00     0.00  0.20  5.13     1.33    45.93     8.86     0.00    0.47   0.47   0.25
sdbl3             0.00     0.00  0.20  5.13     1.33    45.93     8.86     0.00    0.47   0.47   0.25
sdbm              0.00     0.00  0.17  4.93     2.47    37.87     7.91     0.00    0.52   0.46   0.24
sdbm3             0.00     0.00  0.17  4.93     2.47    37.87     7.91     0.00    0.52   0.46   0.24
sdbn              0.00     0.00  0.27  4.37     2.40    38.00     8.72     0.00    0.74   0.73   0.34
sdbn3             0.00     0.00  0.27  4.37     2.40    38.00     8.72     0.00    0.74   0.73   0.34
sdbo              0.00     0.00  0.03  4.27     0.53    34.00     8.03     0.00    0.47   0.41   0.18
sdbo3             0.00     0.00  0.03  4.27     0.53    34.00     8.03     0.00    0.47   0.41   0.18
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.00     0.00 16.20 250.50   236.13  2458.73    10.10     0.24    0.90   0.53  14.00

Time: 07:13:08 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.96    1.22    0.00   95.81

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614891469123650.75    0.00   0.00 100.01
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00 100.01
sdc               0.00     6.20  0.00  0.90     0.00    56.80    63.11     0.01   12.04   5.22   0.47
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.63  0.00  0.20     0.00     6.67    33.33     0.00    8.33   8.33   0.17
sdc3              0.00     5.57  0.00  0.70     0.00    50.13    71.62     0.01   13.10   4.33   0.30
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.20  3.67     2.20    47.53    12.86     0.00    0.66   0.64   0.25
sdd3              0.00     0.00  0.20  3.67     2.20    47.53    12.86     0.00    0.66   0.64   0.25
sde               0.00     0.00  0.07  5.27     0.67    40.67     7.75     0.00    0.81   0.57   0.30
sde3              0.00     0.00  0.07  5.27     0.67    40.67     7.75     0.00    0.81   0.57   0.30
sdf               0.00     0.00  0.27  5.93     3.53    52.33     9.01     0.00    0.52   0.51   0.32
sdf3              0.00     0.00  0.27  5.93     3.53    52.33     9.01     0.00    0.52   0.51   0.32
sdg               0.00     0.00  0.13  6.10     1.27    58.93     9.66     0.00    0.52   0.50   0.31
sdg3              0.00     0.00  0.13  6.10     1.27    58.93     9.66     0.00    0.52   0.50   0.31
sdh               0.00     0.00  0.27  5.80     3.33    52.33     9.18     0.00    0.64   0.60   0.37
sdh3              0.00     0.00  0.27  5.80     3.33    52.33     9.18     0.00    0.64   0.60   0.37
sdi               0.00     0.00  0.37  6.37     3.07    60.60     9.46     0.00    0.68   0.64   0.43
sdi3              0.00     0.00  0.37  6.37     3.07    60.60     9.46     0.00    0.68   0.64   0.43
sdj               0.00     0.00  0.30  5.13     3.80    53.27    10.50     0.00    0.44   0.44   0.24
sdj3              0.00     0.00  0.30  5.13     3.80    53.27    10.50     0.00    0.44   0.44   0.24
sdk               0.00     0.00  0.20  5.37     6.73    50.80    10.34     0.00    0.75   0.68   0.38
sdk3              0.00     0.00  0.20  5.37     6.73    50.80    10.34     0.00    0.75   0.68   0.38
sdl               0.00     0.00  0.30  6.10     1.33    53.80     8.61     0.00    0.77   0.74   0.48
sdl3              0.00     0.00  0.30  6.10     1.33    53.80     8.61     0.00    0.77   0.74   0.48
sdm               0.00     0.00  0.23  4.67     2.40    45.87     9.85     0.01    1.10   1.04   0.51
sdm3              0.00     0.00  0.23  4.67     2.40    45.87     9.85     0.01    1.10   1.04   0.51
sdn               0.00     0.00  0.07  5.70     0.40    57.00     9.95     0.00    0.79   0.76   0.44
sdn3              0.00     0.00  0.07  5.70     0.40    57.00     9.95     0.00    0.79   0.76   0.44
sdo               0.00     0.00  0.13  5.67     0.47    74.80    12.98     0.00    0.49   0.45   0.26
sdo3              0.00     0.00  0.13  5.67     0.47    74.80    12.98     0.00    0.49   0.45   0.26
sdp               0.00     0.00  0.10  4.50     0.73    53.07    11.70     0.00    0.97   0.91   0.42
sdp3              0.00     0.00  0.10  4.50     0.73    53.07    11.70     0.00    0.97   0.91   0.42
sdq               0.00     0.00  0.20  4.37     1.60    63.93    14.35     0.01    1.52   1.04   0.48
sdq3              0.00     0.00  0.20  4.37     1.60    63.93    14.35     0.01    1.52   1.04   0.48
sdr               0.00     0.00  0.30  3.40     3.87    46.40    13.59     0.00    0.74   0.61   0.23
sdr3              0.00     0.00  0.30  3.40     3.87    46.40    13.59     0.00    0.74   0.61   0.23
sds               0.00     0.00  0.20  2.23     2.40    35.27    15.48     0.00    0.68   0.68   0.17
sds3              0.00     0.00  0.20  2.23     2.40    35.27    15.48     0.00    0.68   0.68   0.17
sdt               0.00     0.00  0.33  5.20     3.67    53.37    10.31     0.01    0.93   0.83   0.46
sdt3              0.00     0.00  0.33  5.20     3.67    53.37    10.31     0.01    0.93   0.83   0.46
sdu               0.00     0.00  0.50  4.93    12.33    40.07     9.64     0.01    1.29   0.80   0.43
sdu3              0.00     0.00  0.50  4.93    12.33    40.07     9.64     0.01    1.29   0.80   0.43
sdv               0.00     0.00  0.37  5.17     7.27    57.07    11.63     0.00    0.52   0.50   0.28
sdv3              0.00     0.00  0.37  5.17     7.27    57.07    11.63     0.00    0.52   0.50   0.28
sdw               0.00     0.00  0.20  5.73     2.33    61.93    10.83     0.00    0.61   0.58   0.34
sdw3              0.00     0.00  0.20  5.73     2.33    61.93    10.83     0.00    0.61   0.58   0.34
sdx               0.00     0.00  0.47  5.60     5.33    52.47     9.53     0.01    0.89   0.66   0.40
sdx3              0.00     0.00  0.47  5.60     5.33    52.47     9.53     0.01    0.89   0.66   0.40
sdy               0.00     0.00  0.17  5.70     0.47    60.33    10.36     0.00    0.81   0.80   0.47
sdy3              0.00     0.00  0.17  5.70     0.47    60.33    10.36     0.00    0.81   0.80   0.47
sdz               0.00     0.00  0.33  4.87     6.13    41.53     9.17     0.00    0.51   0.37   0.19
sdz3              0.00     0.00  0.33  4.87     6.13    41.53     9.17     0.00    0.51   0.36   0.19
sdaa              0.00     0.00  0.27  5.03     6.80    45.33     9.84     0.00    0.40   0.35   0.19
sdaa3             0.00     0.00  0.27  5.03     6.80    45.33     9.84     0.00    0.40   0.35   0.19
sdab              0.00     0.00  0.13  6.53     1.67    58.60     9.04     0.00    0.34   0.28   0.19
sdab3             0.00     0.00  0.13  6.53     1.67    58.60     9.04     0.00    0.34   0.28   0.19
sdac              0.00     0.00  0.33  5.87     2.00    62.87    10.46     0.00    0.71   0.65   0.40
sdac3             0.00     0.00  0.33  5.87     2.00    62.87    10.46     0.00    0.71   0.65   0.40
sdad              0.00     0.00  0.13  3.83     0.80    53.73    13.75     0.00    0.76   0.73   0.29
sdad3             0.00     0.00  0.13  3.83     0.80    53.73    13.75     0.00    0.76   0.73   0.29
sdae              0.00     0.00  0.20  5.07     1.67    61.60    12.01     0.00    0.46   0.42   0.22
sdae3             0.00     0.00  0.20  5.07     1.67    61.60    12.01     0.00    0.46   0.42   0.22
sdaf              0.00     0.00  0.37  3.27     6.67    46.80    14.72     0.00    1.35   1.28   0.46
sdaf3             0.00     0.00  0.37  3.27     6.67    46.80    14.72     0.00    1.35   1.28   0.46
sdag              0.00     0.00  0.20  4.70     1.07    67.47    13.99     0.00    0.54   0.51   0.25
sdag3             0.00     0.00  0.20  4.70     1.07    67.47    13.99     0.00    0.54   0.51   0.25
sdah              0.00     0.00  0.30  3.27     6.00    47.53    15.01     0.00    0.69   0.50   0.18
sdah3             0.00     0.00  0.30  3.27     6.00    47.53    15.01     0.00    0.69   0.50   0.18
sdai              0.00     0.00  0.23  2.07     1.27    26.87    12.23     0.00    0.78   0.78   0.18
sdai3             0.00     0.00  0.23  2.07     1.27    26.87    12.23     0.00    0.78   0.78   0.18
sdaj              0.00     0.00  0.20  5.43     1.67    47.40     8.71     0.00    0.48   0.47   0.26
sdaj3             0.00     0.00  0.20  5.43     1.67    47.40     8.71     0.00    0.48   0.47   0.26
sdak              0.00     0.00  0.23  5.07     1.73    50.27     9.81     0.00    0.57   0.55   0.29
sdak3             0.00     0.00  0.23  5.07     1.73    50.27     9.81     0.00    0.57   0.55   0.29
sdal              0.00     0.00  0.20  6.50     4.40    66.53    10.59     0.00    0.53   0.44   0.29
sdal3             0.00     0.00  0.20  6.50     4.40    66.53    10.59     0.00    0.53   0.44   0.29
sdam              0.00     0.00  0.20  6.43     2.93    65.47    10.31     0.00    0.60   0.56   0.37
sdam3             0.00     0.00  0.20  6.43     2.93    65.47    10.31     0.00    0.60   0.56   0.37
sdan              0.00     0.00  0.37  5.70     7.00    56.73    10.51     0.00    0.58   0.49   0.30
sdan3             0.00     0.00  0.37  5.70     7.00    56.73    10.51     0.00    0.58   0.49   0.30
sdao              0.00     0.00  0.27  5.77     4.67    60.60    10.82     0.00    0.68   0.55   0.33
sdao3             0.00     0.00  0.27  5.77     4.67    60.60    10.82     0.00    0.68   0.55   0.33
sdap              0.00     0.00  0.30  4.13     6.93    35.33     9.53     0.00    0.73   0.62   0.27
sdap3             0.00     0.00  0.30  4.13     6.93    35.33     9.53     0.00    0.73   0.62   0.27
sdaq              0.00     0.00  0.13  5.17     1.47    44.87     8.74     0.00    0.48   0.48   0.25
sdaq3             0.00     0.00  0.13  5.17     1.47    44.87     8.74     0.00    0.48   0.48   0.25
sdar              0.00     0.00  0.30  5.47     5.33    50.33     9.65     0.01    1.57   0.63   0.36
sdar3             0.00     0.00  0.30  5.47     5.33    50.33     9.65     0.01    1.57   0.63   0.36
sdas              0.00     0.00  0.33  5.57     4.53    58.40    10.67     0.01    0.94   0.83   0.49
sdas3             0.00     0.00  0.33  5.57     4.53    58.40    10.67     0.01    0.94   0.83   0.49
sdat              0.00     0.00  0.10  5.17     1.33    74.20    14.34     0.00    0.45   0.43   0.23
sdat3             0.00     0.00  0.10  5.17     1.33    74.20    14.34     0.00    0.45   0.43   0.23
sdau              0.00     0.03  0.03  3.77     0.07    59.93    15.79     0.00    0.26   0.26   0.10
sdau3             0.00     0.03  0.03  3.77     0.07    59.93    15.79     0.00    0.26   0.26   0.10
sdav              0.00     0.00  0.77  5.17     9.80    71.07    13.63     0.01    1.41   1.15   0.68
sdav3             0.00     0.00  0.77  5.17     9.80    71.07    13.63     0.01    1.41   1.15   0.68
sdaw              0.00     0.00  0.50  4.83     8.67    60.13    12.90     0.00    0.81   0.53   0.28
sdaw3             0.00     0.00  0.50  4.83     8.67    60.13    12.90     0.00    0.81   0.53   0.28
sdax              0.00     0.00  0.13  3.40     3.27    45.93    13.92     0.00    0.60   0.48   0.17
sdax3             0.00     0.00  0.13  3.40     3.27    45.93    13.92     0.00    0.60   0.48   0.17
sday              0.00     0.00  0.20  3.23     2.93    45.60    14.14     0.00    1.17   0.80   0.27
sday3             0.00     0.00  0.20  3.23     2.93    45.60    14.14     0.00    1.17   0.80   0.27
sdaz              0.00     0.00  0.23  5.67     2.80    53.67     9.57     0.00    0.45   0.36   0.21
sdaz3             0.00     0.00  0.23  5.67     2.80    53.67     9.57     0.00    0.45   0.36   0.21
sdba              0.00     0.00  0.27  5.93     3.07    54.00     9.20     0.00    0.63   0.51   0.31
sdba3             0.00     0.00  0.27  5.93     3.07    54.00     9.20     0.00    0.63   0.51   0.31
sdbb              0.00     0.00  0.00  6.33     0.00    64.27    10.15     0.00    0.31   0.27   0.17
sdbb3             0.00     0.00  0.00  6.33     0.00    64.27    10.15     0.00    0.31   0.27   0.17
sdbc              0.00     0.00  0.10  6.20     0.40    55.87     8.93     0.00    0.54   0.51   0.32
sdbc3             0.00     0.00  0.10  6.20     0.40    55.87     8.93     0.00    0.54   0.51   0.32
sdbd              0.00     0.00  0.20  5.57     1.73    51.93     9.31     0.00    0.47   0.38   0.22
sdbd3             0.00     0.00  0.20  5.57     1.73    51.93     9.31     0.00    0.47   0.38   0.22
sdbe              0.00     0.00  0.20  5.57     1.80    55.60     9.95     0.00    0.64   0.58   0.34
sdbe3             0.00     0.00  0.20  5.57     1.80    55.60     9.95     0.00    0.64   0.58   0.34
sdbf              0.00     0.00  0.33  4.27     6.87    38.00     9.75     0.01    1.12   0.93   0.43
sdbf3             0.00     0.00  0.33  4.27     6.87    38.00     9.75     0.01    1.12   0.93   0.43
sdbg              0.00     0.00  0.13  5.00     0.87    42.73     8.49     0.00    0.62   0.56   0.29
sdbg3             0.00     0.00  0.13  5.00     0.87    42.73     8.49     0.00    0.62   0.56   0.29
sdbh              0.00     0.00  0.23  5.20     3.00    44.67     8.77     0.00    0.69   0.66   0.36
sdbh3             0.00     0.00  0.23  5.20     3.00    44.67     8.77     0.00    0.69   0.66   0.36
sdbi              0.00     0.00  0.23  5.50     4.53    50.07     9.52     0.00    0.42   0.35   0.20
sdbi3             0.00     0.00  0.23  5.50     4.53    50.07     9.52     0.00    0.42   0.35   0.20
sdbj              0.00     0.00  0.07  3.53     0.60    53.93    15.15     0.00    0.86   0.78   0.28
sdbj3             0.00     0.00  0.07  3.53     0.60    53.93    15.15     0.00    0.86   0.78   0.28
sdbk              0.00     0.00  0.17  4.93     2.20    66.27    13.42     0.00    0.52   0.51   0.26
sdbk3             0.00     0.00  0.17  4.93     2.20    66.27    13.42     0.00    0.52   0.51   0.26
sdbl              0.00     0.00  0.13  5.37     1.00    65.67    12.12     0.00    0.88   0.79   0.43
sdbl3             0.00     0.00  0.13  5.37     1.00    65.67    12.12     0.00    0.88   0.79   0.43
sdbm              0.00     0.00  0.20  4.20     1.80    58.60    13.73     0.00    0.57   0.51   0.22
sdbm3             0.00     0.00  0.20  4.20     1.80    58.60    13.73     0.00    0.57   0.51   0.22
sdbn              0.00     0.00  0.10  2.90     1.60    41.67    14.42     0.00    1.03   0.88   0.26
sdbn3             0.00     0.00  0.10  2.90     1.60    41.67    14.42     0.00    1.03   0.88   0.26
sdbo              0.00     0.00  0.00  2.87     0.00    39.87    13.91     0.00    0.23   0.23   0.07
sdbo3             0.00     0.00  0.00  2.87     0.00    39.87    13.91     0.00    0.23   0.23   0.07
sdbp              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbq              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbr              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbs              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbt              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbu              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbv              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbw              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbx              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdby              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdbz              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdca              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcb              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcc              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdcd              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
dm-0              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
VxVM10            0.00     0.03 14.53 313.63   202.27  3412.93    11.02     0.24    0.72   0.43  13.99

Time: 07:13:38 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           0.02    0.00    2.68    1.03    0.00   96.27

Device:         rrqm/s   wrqm/s   r/s   w/s   rsec/s   wsec/s avgrq-sz avgqu-sz   await  svctm  %util
sda               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda2              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda6              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda7              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sda8              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb               0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdb2              0.00     0.00  0.00  0.00     0.00     0.00     0.00 614686573599117.75    0.00   0.00  99.97
sdb3              0.00     0.00  0.00  0.00     0.00     0.00     0.00     1.00    0.00   0.00  99.97
sdc               0.00     6.30  0.00  0.97     0.00    58.11    60.14     0.02   15.97   5.69   0.55
sdc1              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc2              0.00     0.73  0.00  0.47     0.00     9.60    20.57     0.01   16.00   6.50   0.30
sdc3              0.00     5.56  0.00  0.50     0.00    48.52    97.07     0.01   15.93   4.93   0.25
sdc4              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdc5              0.00     0.00  0.00  0.00     0.00     0.00     0.00     0.00    0.00   0.00   0.00
sdd               0.00     0.00  0.20  4.90     1.53    38.25     7.80     0.00    0.65   0.61   0.31
sdd3              0.00     0.00  0.20  4.90     1.53    38.25     7.80     0.00    0.65   0.61   0.31
sde               0.00     0.00  0.23  4.53     2.73    32.59     7.41     0.00    0.63   0.62   0.29
