Linux 2.6.18-164.el5 (redhat1.vxindia.veritas.com) 	07/10/2010 	_x86_64_	(1 CPU)

01:40:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
01:47:11 PM       0      0.10     32.66     19.35     47.78      0.00      0.00      0.10      0.00      0.00
01:47:21 PM     all      0.10     36.36     21.52     41.82      0.00      0.10      0.10      0.00      0.00
01:47:21 PM       0      0.10     36.36     21.52     41.82      0.00      0.10      0.10      0.00      0.00
01:47:31 PM     all      0.20     33.27     19.37     47.06      0.00      0.00      0.10      0.00      0.00
01:47:31 PM       0      0.20     33.27     19.37     47.06      0.00      0.00      0.10      0.00      0.00
01:47:41 PM     all      0.21     36.31     20.00     43.28      0.00      0.10      0.10      0.00      0.00
01:47:41 PM       0      0.21     36.31     20.00     43.28      0.00      0.10      0.10      0.00      0.00
01:47:51 PM     all      0.10     36.10     21.20     42.40      0.00      0.10      0.10      0.00      0.00
01:47:51 PM       0      0.10     36.10     21.20     42.40      0.00      0.10      0.10      0.00      0.00
01:48:01 PM     all      0.10     38.78     22.14     38.98      0.00      0.00      0.00      0.00      0.00
01:48:01 PM       0      0.10     38.78     22.14     38.98      0.00      0.00      0.00      0.00      0.00
01:48:11 PM     all      0.10     41.28     22.85     35.67      0.00      0.00      0.10      0.00      0.00
01:48:11 PM       0      0.10     41.28     22.85     35.67      0.00      0.00      0.10      0.00      0.00
01:48:21 PM     all      0.10     44.48     25.40     29.82      0.00      0.10      0.10      0.00      0.00
01:48:21 PM       0      0.10     44.48     25.40     29.82      0.00      0.10      0.10      0.00      0.00
01:48:31 PM     all      0.20     33.84     19.06     46.79      0.00      0.00      0.10      0.00      0.00
01:48:31 PM       0      0.20     33.84     19.06     46.79      0.00      0.00      0.10      0.00      0.00
01:48:41 PM     all      0.30     34.13     19.22     46.15      0.00      0.10      0.10      0.00      0.00
01:48:41 PM       0      0.30     34.13     19.22     46.15      0.00      0.10      0.10      0.00      0.00
01:48:51 PM     all      0.10     32.77     19.28     47.75      0.00      0.00      0.10      0.00      0.00
01:48:51 PM       0      0.10     32.77     19.28     47.75      0.00      0.00      0.10      0.00      0.00
01:49:01 PM     all      0.10     34.41     20.02     45.37      0.00      0.00      0.10      0.00      0.00
01:49:01 PM       0      0.10     34.41     20.02     45.37      0.00      0.00      0.10      0.00      0.00
01:49:11 PM     all      0.20     34.63     20.06     44.91      0.00      0.10      0.10      0.00      0.00
01:49:11 PM       0      0.20     34.63     20.06     44.91      0.00      0.10      0.10      0.00      0.00
