
    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    1     0     0   148694  650336  179   88     0    0     0    0     0   1047   7465   366  13  2 85
    2     0     0   138387  650332  186   82     0    0     0    0     0   1044   7679   356  19  1 80
    2     0     0   138387  650345  175   78     0    0     0    0     0   1036   7246   343  14  1 85
    2     0     0   138387  650332  177   87     0    0     0    0     0   1042   7412   363  16  1 83
    2     0     0   138387  650332  172   77     0    0     0    0     0   1039   7193   341  18  0 82
    2     0     0   138387  650663  175   86     0    0     0    0     0   1042   7325   353  14  2 84
    2     0     0   138387  650663  182   81     0    0     0    0     0   1038   7565   346  17  1 82
    2     0     0   138387  650332  172   77     0    0     0    0     0   1033   7156   335  16  1 83
    2     0     0   138387  650523  190   86     0    0     0    0     0   1038   7890   360  14  2 84
    2     0     0   138387  650332  179   81     0    0     0    0     0   1037   7439   351  18  2 80
    2     0     0   139541  650241  251   68    59    0     0    0     0   1060   8422   353  20  1 79
    2     0     0   139541  650307  247   71    50    0     0    0     0   1051   9011   388  15  2 83
    2     0     0   139541  650303  222   68    40    0     0    0     0   1049   8396   375  18  1 81
    2     0     0   139541  650340  202   65    32    0     0    0     0   1048   7818   356  15  2 83
    2     0     0   139541  650332  234   71    25    0     0    0     0   1050   7930   372  18  2 80
    2     0     0   139541  650345  267   68    20    0     0    0     0   1037   9486   378  20  2 78
    2     0     0   139541  650332  240   67    16    0     0    0     0   1035   8732   364  16  1 83
    2     0     0   139541  650663  317   71    12    0     0    0     0   1033  10675   394  20  1 79
    2     0     0   139541  650332  281   69     9    0     0    0     0   1032   9659   377  17  2 81
    2     0     0   139541  650332  335   72     7    0     0    0     0   1026  10822   399  18  3 79

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    3     0     0   127517  650663  317   66     5    0     0    0     0   1024  10455   392  18  1 81
    3     0     0   127517  650340  280   65     4    0     0    0     0   1038   9496   379  15  1 84
    3     0     0   127517  650250  264   78     3    0     0    0     0   1063   9260   395  13  2 85
    3     0     0   127517  650344  253   75     2    0     0    0     0   1058   9104   379  17  3 80
    3     0     0   127517  650340  229   72     1    0     0    0     0   1050   8383   369  15  1 84
    3     0     0   127517  650344  236   82     0    0     0    0     0   1053   8863   380  15  2 83
    3     0     0   127517  650340  215   77     0    0     0    0     0   1046   8195   369  18  1 81
    3     0     0   127517  650344  201   74     0    0     0    0     0   1052   7893   372  12  3 85
    3     0     0   127517  650340  244   78     0    0     0    0     0   1039   7719   358  20  1 79
    3     0     0   127517  650212  269   74     0    0     0    0     0   1027   9438   368  18  2 80
    3     0     0   141455  650199  255   87     0    0     0    0     0   1039   9596   375  15  2 83
    3     0     0   141455  650212  245   80     0    0     0    0     0   1035   9349   361  17  1 82
    3     0     0   141455  650199  222   75     0    0     0    0     0   1030   8617   346  16  4 80
    3     0     0   141455  650359  388  118     0    0     0    0     0   1034  13155   425  18  4 78
    3     0     0   141455  650359  339  103     0    0     0    0     0   1058  11738   396  18  2 80
    3     0     0   141455  650028  297   97     0    0     0    0     0   1093  10436   388  11  1 88
    3     0     0   141455  650359  275   91    31    0     0    0     0   1120   9874   399  13  1 86
    3     0     0   141455  650032  250   84    24    0     0    0     0   1100   9010   369  10  1 89
    3     0     0   141455  650036  246   79    19    0     0    0     0   1096   8911   355  17  1 82
    3     0     0   141455  650028  229   66    41    0     0    0     0   1098   8354   346  16  1 83

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   148567  650177  207   64    32    0     0    0     0   1085   7773   338  12  2 86
    2     0     0   148567  650028  215   74    25    0     0    0     0   1092   8507   395  18  1 81
    2     0     0   148567  650359  197   70    20    0     0    0     0   1075   8028   401  16  1 83
    2     0     0   148567  650199  185   68    16    0     0    0     0   1063   7619   376  13  2 85
    2     0     0   148567  650341  256   67    12    0     0    0     0   1063   8960   412  22  2 76
    2     0     0   148567  650344  243   67     9    0     0    0     0   1054   8434   394  16  3 81
    2     0     0   148567  650340  224   56     7    0     0    0     0   1062   8092   384  15  1 84
    2     0     0   148567  650671  238   68     5    0     0    0     0   1061   8401   372  17  2 81
    2     0     0   148567  650340  217   65     4    0     0    0     0   1052   7801   354  16  1 83
    2     0     0   148567  650340  206   65     3    0     0    0     0   1045   7485   361  13  1 86
    1     0     0   157685  650340  217   58     2    0     0    0     0   1051   8102   367  19  1 80
    1     0     0   157685  650340  198   57     1    0     0    0     0   1046   7542   350  16  2 82
    1     0     0   157685  650250  217   77     0    0     0    0     0   1058   7957   389  15  1 84
    1     0     0   157685  650344  217   73     0    0     0    0     0   1056   8154   390  18  1 81
    1     0     0   157685  650340  245   60     0    0     0    0     0   1043   7339   357  18  0 82
    1     0     0   157685  650340  247   66     0    0     0    0     0   1043   7647   347  18  2 80
    1     0     0   157685  650671  234   70     0    0     0    0     0   1044   7295   334  13  3 84
    1     0     0   157685  650340  248   77     0    0     0    0     0   1052   7844   343  16  1 83
    1     0     0   157685  650328  225   65     0    0     0    0     0   1046   7530   331  17  1 82
    1     0     0   157685  650340  221   57     0    0     0    0     0   1045   7348   328  13  3 84

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   149281  650261  230   59     8    0     0    0     0   1058   8003   351  18  0 82
    2     0     0   149281  650344  211   58     6    0     0    0     0   1065   7595   363  14  2 84
    2     0     0   149281  650340  197   58     4    0     0    0     0   1076   7409   375  13  1 86
    2     0     0   149281  650353  210   69     3    0     0    0     0   1084   8123   411  19  1 80
    2     0     0   149281  650353  195   66     2    0     0    0     0   1077   7678   398  13  2 85
    2     0     0   149281  650340  185   64     1    0     0    0     0   1069   7420   396  15  2 83
    2     0     0   149281  650484  200   74     0    0     0    0     0   1071   8148   419  18  1 81
    2     0     0   149281  650340  187   70     0    0     0    0     0   1059   7693   404  12  2 86
    2     0     0   149281  650671  188   79     0    0     0    0     0   1088   7879   450  17  1 82
    2     0     0   149281  650340  194   74     0    0     0    0     0   1094   8079   439  16  2 82
    2     0     0   131441  650250  183   70     0    0     0    0     0   1090   7644   431  12  3 85
    2     0     0   131441  650325  184   79     0    0     0    0     0   1126   7860   483  16  2 82
    2     0     0   131441  650310  190   74     0    0     0    0     0   1124   8105   468  17  0 83
    2     0     0   131441  650348  179   70     0    0     0    0     0   1121   7691   452  12  3 85
    2     0     0   131441  650340  181   78     0    0     0    0     0   1128   7786   473  15  1 84
    2     0     0   131441  650671  187   75     0    0     0    0     0   1128   8099   477  17  1 82
    2     0     0   131441  650340  177   71     0    0     0    0     0   1125   7694   460  12  2 86
    2     0     0   131441  650340  169   68     0    0     0    0     0   1106   7332   443  16  1 83
    2     0     0   131441  650671  189   77     0    0     0    0     0   1102   8170   473  17  0 83
    2     0     0   131441  650340  178   73     0    0     0    0     0   1097   7719   460  12  3 85

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   123623  650340  171   70     0    0     0    0     0   1104   7604   463  18  1 81
    2     0     0   123623  650344  188   79     0    0     0    0     0   1129   8181   481  15  2 83
    2     0     0   123623  650340  178   74     0    0     0    0     0   1126   7770   468  12  1 87
    2     0     0   123623  650009  154   69     0    0     0    0     0   1112   6690   427   4  0 96
    2     0     0   123623  650340  150   68     0    0     0    0     0   1113   6627   426  18  2 80
    2     0     0   123623  650404  162   66     0    0     0    0     0   1095   7083   413  12  2 86
    2     0     0   123623  650344  157   64     0    0     0    0     0   1077   6842   403  15  2 83
    2     0     0   123623  650340  164   74     0    0     0    0     0   1114   7202   450  17  1 82
    2     0     0   123623  650471  174   70     0    0     0    0     0   1114   7539   444  13  2 85
    2     0     0   123623  650199  174   68     0    0     0    0     0   1101   7940   438  17  2 81
    2     0     0   138757  650199  178   77     0    0     0    0     0   1124   8086   478  16  1 83
    2     0     0   138757  650530  185   73     0    0     0    0     0   1122   8245   461  13  3 84
    2     0     0   138757  650199  175   70     0    0     0    0     0   1116   7813   445  15  1 84
    2     0     0   138757  650104  178   79     0    0     0    0     0   1133   7977   484  18  0 82
    2     0     0   138757  650203  186   74     0    0     0    0     0   1136   8157   465  12  3 85
    2     0     0   138757  650199  176   70     0    0     0    0     0   1127   7710   450  16  1 83
    2     0     0   138757  650212  183   79     0    0     0    0     0   1148   8069   493  17  1 82
    2     0     0   138757  650199  190   74     0    0     0    0     0   1143   8229   473  12  2 86
    2     0     0   138757  650530  179   70     0    0     0    0     0   1131   7769   459  17  0 83
    2     0     0   138757  650199  181   79     0    0     0    0     0   1148   7941   491  15  2 83

    r     b     w      avm    free   re   at    pi   po    fr   de    sr     in   syscalls    cs  us sy id
    2     0     0   141201  650112  188   74     0    0     0    0     0   1136   8132   470  13  1 86
    2     0     0   141201  650203  178   70     0    0     0    0     0   1118   7698   459  17  2 81
    2     0     0   141201  650199  180   78     0    0     0    0     0   1130   7830   486  15  2 83
    2     0     0   141201  650207  187   75     0    0     0    0     0   1127   8136   489  15  2 83
    2     0     0   141201  650207  229   77     0    0     0    0     0   1120   8411   496  19  2 79
    2     0     0   141201  650341  222   83     0    0     0    0     0   1127   8356   501  15  2 83
