CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
 46    0   0 15231     7    0    1    4    0    2    0   452   14  54   0  32
 47  105   0  247     2    0    2    0    1    3    0  1118    0   1   0  99
 48    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 49    0   0    1     5    0    3    0    0    0    0     0    0   0   0 100
 50    0   0 1587     3    0    5    0    0    1    0    35    0   0   0 100
 51    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 52    8   0    6    17    0    8    2    0    1    0   137   30   0   0  69
 53    0   0    7    24    0   14    0    0    0    0     0    0   0   0 100
 54    0   0    3    10    0    7    0    0    0    0     0    0   0   0 100
 55    3   0   52   125    4  271    0    1   12   29   274    0   1   0  99
 56    0   0  219   124    4  221    0    6    1   16   131    0   4   0  95
 57   24   0  124     3    0    3    1    0   18    0   881    0   6   0  93
 58    0   0    0     6    5    0    0    0    0    0     0    0   0   0 100
 59    0   0    0     6    5    0    0    0    0    0     0    0   0   0 100
 60    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 61    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 62   36   0  124     2    0    3    0    1    3    0    29    0   1   0  99
 63    0   0    2     8    1    8    0    2    0    0    95    0   0   0 100
Sun Jul 11 16:16:51 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0    0   0   20   200    0    0    0    0    0    0     0    0   0   0 100
  1   17   0  196    58    8   55    3    5    5    0   308   33   1   0  66
  2    0   0    0     4    0    0    0    0    0    0     0    0   0   0 100
  3    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  4    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
  5   36   0  123     2    0    3    0    0    2    0    29    0   0   0  99
  6    0   0    1     5    1    3    0    1    0    0     0    0   0   0 100
  7    0   0  127     8    1   13    0    0    0    0   274    2   0   0  97
  8    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
  9    0   0    3     8    0    0    0    0    0    0     0    0   0   0 100
 10    0   0 22782    13    1    0    5    0   10    0   672   20  80   0   0
 11    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 12    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 13    0   0    0     3    0    2    0    1    0    0     0    0   0   0 100
 14    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 15    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 16    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 17    0   0    0     2    0    2    0    0    0    0     0    0   0   0 100
 18    0   0    3     5    0    8    0    1    0    0     0    0   0   0 100
 19    0   0  148    76    1   87    0    5    0    0   270    1   0   0  98
 20    0   0   13    73   19   66    0    1    0    0    41    0   0   0  99
 21    0   0    0     2    0   16    0    0    0    0    86    0   0   0 100
 22    0   0    1     8    1   12    0    0    0    0     4    0   0   0 100
 23    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 24    0   0    0     1    0    1    0    0    0    0     0    0   0   0 100
 25    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 26    0   0    1    20    8   22    0    1    0    0    10    0   0   0 100
 27    0   0   12    37    0   45    0    1    0    0    11    0   0   0 100
 28    0   0   18   131   38  133    0    5    0    0    90    0   0   0  99
 29    0   0   11    39    4   25    0    0    1    0     0    0   0   0 100
 30    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 31    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 32    0   0    2     7    0   11    0    0    0    0     3    0   0   0 100
 33    0   0    0     3    0    4    0    0    0    0     1    0   0   0 100
 34    0   0  168   184  166   14    0    0    0    0     4    0   1   0  99
 35    0   0  138    36    0   57    0    1    0    5    25    0   0   0 100
 36    0   0    6    20    0   23    0    1    0    0     3    0   0   0 100
 37    0   0  146   204   55  232    0    6    0    3   249    1   1   0  98
 38    0   0  442    22    4   12    0    0    0    0     0    0   0   0 100
 39    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 40    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 41    0   0    1     6    0   11    0    1    0    0     4    0   0   0 100
 42    0   0   18    37    0   90    0    2    0   11    50    0   0   0 100
 43    0   0   66     8    0   15    0    1    0    0     6    0   0   0 100
 44    0   0    1     6    0   11    0    0    0    0     4    0   0   0 100
 45   35   0  135    27    0   70    0    2    1    8    60    0   0   0  99
 46   37   0  131    48   17   57    0    6    3    0   115    0   0   0 100
 47    0   0    0     1    0    1    0    0    0    0     0    0   0   0 100
 48    0   0    1     5    0    8    0    0    0    0     2    0   0   0 100
 49    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 50    0   0    2     8    1   12    0    1    0    0    29    0   0   0 100
 51    0   0    0     2    0    3    0    1    1    0   120    0   0   0 100
 52   18   0    7     8    0    0    7    0    2    0   290   65   1   0  34
 53    0   0    2    12    0    0    0    0    0    0     0    0   0   0 100
 54    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 55   36   0  136    49    9   61    0    5    5    0    54    0   0   0 100
 56    0   0  127    88    5  154    0    4    0   12    95    0   1   0  99
 57    2   0  124     3    0    1    1    0   19    0   570    0   4   0  96
 58    0   0    2     7    6    0    0    0    0    0     0    0   0   0 100
 59    0   0    0     7    6    0    0    0    0    0     0    0   0   0 100
 60    0   0    0     1    0    1    0    0    0    0     0    0   0   0 100
 61    0   0    0     1    0    0    0    0    0    0     0    0   0   0 100
 62    0   0    2     5    0    2    0    0    1    0     0    0   3   0  97
 63   37   0  133    27    0   20    0    1    2    0    67    0   0   0  99
Sun Jul 11 16:16:53 IST 2010
CPU minf mjf xcal  intr ithr  csw icsw migr smtx  srw syscl  usr sys  wt idl
  0    0   0   20   201    0    0    0    0    0    0     0    0   1   0  99
  1   22   0   14    20    2   12    9    0    3    0   370   89   1   0  10
  2   36   0  123    11    0    1    0    0    1    0    29    0   0   0 100
  3    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
  4    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
  5    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
  6    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
  7    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
  8    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
  9    0   0    0     3    0    0    0    0    0    0     0    0   0   0 100
 10    0   0 22742    10    0    0    7    0    4    0   675   20  80   0   0
 11    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 12    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 13    0   0    0     3    0    0    0    0    0    0     0    0   0   0 100
 14    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 15    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 16    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 17    0   0    2     4    0    5    0    0    0    0     0    0   0   0 100
 18    0   0    3    13    0    8    0    0    0    0     0    0   0   0 100
 19    0   0  326    58    3   72    0    6    0    0   298    1   1   0  98
 20   36   0  129    51   19   46    0    1    1    0    66    0   0   0 100
 21    0   0    0     3    0   16    0    0    0    0    85    0   0   0  99
 22    0   0    3    14    1   22    0    1    0    0     8    0   0   0 100
 23    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 24    0   0    7    23    0   16    0    0    0    0    12    0   0   0 100
 25    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 26    0   0    4    50   20   48    0    0    0    0    20    0   0   0 100
 27    0   0   13    37    0   37    0    2    0    0     7    0   0   0 100
 28   35   0  149   114   17  123    0    5    0    0    88    0   1   0  99
 29    0   0    4    18    4    8    0    0    0    0     0    0   0   0 100
 30    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 31    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 32    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 33    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 34    0   0  171   190  167   24    0    1    0    0     4    0   0   0 100
 35   37   0  129    16    0   11    0    0    3    0    31    0   0   0 100
 36    0   0    8    28    0   19    0    0    0    0     0    0   0   0 100
 37    0   0  155   160   45  182    0    4    1    0   220    1   1   0  98
 38    0   0    0     3    1    1    0    0    0    0     0    0   0   0 100
 39    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 40    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 41    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 42    0   0   60   127    0  329    0    0    1   40   184    1   1   0  98
 43    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 44    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 45    0   0  125     3    0    1    0    0    0    0     0    0   0   0 100
 46    0   0    1    15    4   13    0    2    0    0     7    0   0   0 100
 47    0   0    0     2    0    1    0    0    0    0     0    0   0   0 100
 48    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 49    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 50    0   0    2     9    0   15    0    1    0    0     5    0   0   0 100
 51    0   0    0     3    0    2    0    0    5    0   120    0   0   0 100
 52    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 53    0   0    0     2    0    0    0    0    0    0     0    0   0   0 100
 54    0   0    0     4    1    2    0    0    0    0     7    0   0   0 100
 55    0   0   25   137   31  159    0    5    0    0    86    1   0   0  99
 56   36   0  134    67   16   66    0    4    3    0    63    0   0   0  99
 57    0   0    1     4    0    3    0    0    1    0   566    0   4   0  96
 58    0   0    0     7    5    0    0    0    0    0     0    0   0   0 100
 59    0   0    0     7    5    0    0    0    0    0     0    0   0   0 100
 60    0   0    0     3    0    1    0    0    0    0     0    0   0   0 100
